,Tournament_Name,Date,Total_Prize,Num_Participants,Location,First_Place,Second_Place
0,Huya Winter Invitational 2021,"Dec 23 - 31, 2021","$138,232",10 teams,China,TBD,TBD
1,OGA Dota PIT Season 5: Europe/CIS,"Dec 13 - 20, 2021","$175,000",8 teams,Europe & CIS,TBD,TBD
2,i-League 2021 Season 2,"Aug 19 - Sep 05, 2021","$185,891",7 teams,China,Aster,VG
3,BTS Pro Series Season 7: Americas,"Aug 09 - 22, 2021","$50,000",8 teams,Americas,UND,NoPing
4,OGA Dota PIT Season 5: China,"Aug 07 - 16, 2021","$150,000",8 teams,China,PSG.LGD,Elephant
5,BTS Pro Series Season 7: Southeast Asia,"Aug 02 - 15, 2021","$50,000",8 teams,Southeast Asia,GXR,Fnatic
6,i-League 2021 Season 1,"Apr 03 - Jul 25, 2021","$186,000",8 teams,"Shanghai, China",Aster,VG
7,BTS Pro Series Season 6: Americas,"May 25 - Jun 06, 2021","$50,000",8 teams,Americas,UND,4Z
8,Pinnacle Cup,"May 05 - Jun 01, 2021","$100,000",12 teams,Europe & CIS,TSpirit,Win
9,Dota Pro Circuit 2021: S2 - China Upper Division,"Apr 13 - May 23, 2021","$205,000",8 teams,"Shanghai, China",Aster,PSG.LGD
10,Dota Pro Circuit 2021: S2 - Southeast Asia Upper Division,"Apr 14 - May 22, 2021","$205,000",8 teams,Southeast Asia,T1,TNC
11,DreamLeague Season 15 DPC Western Europe Upper Division,"Apr 13 - May 22, 2021","$205,000",8 teams,Europe,[A],Liquid
12,ESL One DPC Eastern Europe Season 2: Upper Division,"Apr 15 - May 21, 2021","$205,000",8 teams,CIS,VP,TSpirit
13,OGA DPC South America Regional League Season 2: Upper Division,"Apr 14 - May 21, 2021","$205,000",8 teams,South America,NoPing,bc
14,Dota Pro Circuit 2021: S2 - North America Upper Division,"Apr 13 - May 20, 2021","$205,000",8 teams,North America,QC,EG
15,Dota Pro Circuit 2021: S2 - Southeast Asia Lower Division,"Apr 12 - May 20, 2021","$75,000",8 teams,Southeast Asia,MG.Trust,SMG
16,Asia Pacific Predator League 2020/21 - APAC,"Apr 06 - 11, 2021","$85,000",10 teams,Asia,TNC,OB.Neon
17,EPIC League Season 3 Division 1,"Mar 14 - 21, 2021","$85,000",8 teams,Europe & CIS,Vikin.gg,TSpirit
18,FMWH Dota2 Championship Season 3,"Mar 01 - 20, 2021","$92,180",10 teams,China,EHOME,PSG.LGD
19,Dota Pro Circuit 2021: S1 - China Upper Division,"Jan 19 - Mar 14, 2021","$205,000",8 teams,"Shanghai, China",iG,Aster
20,ESL One CIS Online Season 1: Upper Division,"Jan 21 - Feb 28, 2021","$205,000",8 teams,CIS,VP,NAVI
21,DreamLeague Season 14 DPC EU Upper Division,"Jan 19 - Feb 28, 2021","$205,000",8 teams,Europe,Secret,[A]
22,Dota Pro Circuit 2021: S1 - North America Upper Division,"Jan 19 - Feb 28, 2021","$205,000",8 teams,North America,EG,QC
23,Dota Pro Circuit 2021: S1 - Southeast Asia Upper Division,"Jan 20 - Feb 27, 2021","$205,000",8 teams,Southeast Asia,Fnatic,Neon
24,OGA DPC South America Regional League Season 1: Upper Division,"Jan 20 - Feb 26, 2021","$205,000",8 teams,South America,bc,TP
25,Huya Winter Invitational 2020,"Dec 13 - 27, 2020","$91,717",12 teams,"Asia & Shanghai, China",RNG,Aster
26,Perfect World Dota2 League Season 3 - Division A,"Dec 09 - 20, 2020","$73,428",5 teams,Asia,Ink Ice,DLG
27,BTS Pro Series Season 4: Southeast Asia,"Dec 08 - 20, 2020","$50,000",8 teams,Southeast Asia,TNC,Dog
28,OGA Dota PIT Season 4: Europe/CIS,"Dec 15 - 18, 2020","$150,000",8 teams,Europe & CIS,NAVI,OG
29,EPIC League Season 2 Division 2,"Dec 08 - 13, 2020","$48,500",8 teams,Europe & CIS,[A],LtW
30,OGA Dota PIT Season 4: China,"Dec 03 - 12, 2020","$90,000",8 teams,China,Elephant,PSG.LGD
31,Realms Collide: The Burning Darkness,"Nov 12 - Dec 06, 2020","$75,000",12 teams,Americas,QC,INF
32,Perfect World Dota2 League Season 2 - Division A,"Nov 18 - 29, 2020","$72,981",5 teams,Asia,MagMa,FTD
33,China Dota2 Pro Cup Season 2,"Nov 14 - 29, 2020","$91,227",8 teams,"Shanghai, China",Elephant,Aster
34,CDA-FDC Professional Championship Season 2,"Nov 15 - 25, 2020","$91,199",10 teams,China,PSG.LGD,EHOME
35,DOTA Summit 13 Online: Europe & CIS,"Nov 02 - 08, 2020","$50,000",10 teams,Europe & CIS,Vikin.gg,Liquid
36,DOTA Summit 13 Online: Americas,"Oct 21 - Nov 08, 2020","$100,000",10 teams,Americas,Zero,QC
